Train signal size,Train background size,Validation signal size,Validation background size,Loss,ACC,AUC,Loss-true,ACC-true,AUC-true,Sample Type,Model Name,TPR/FPR^0.5: FPR=0.1,TPR/FPR^0.5: FPR=0.01,TPR/FPR^0.5: FPR=0.001,Training epochs,time
15137,16187.0,3784.0,4046.0,0.6910722851753235,0.5279693486590038,0.5254052497755725,0.6683704853057861,0.72045,0.7624414899999999,"Sensitivity: 0.0, Resolution: 25x25",SB_0.0_25x25,0.9749302026299114,0.0499999999999999,0.0063245553203367,19.0,2024-05-07 22:57:00.290000
15137,16187.0,3784.0,4046.0,0.692069411277771,0.5232439335887612,0.5224938968249904,0.6898699998855591,0.5998,0.5903307600000001,"Sensitivity: 0.0, Resolution: 25x25",SB_0.0_25x25,0.6299257099055411,0.057,0.0126491106406735,23.0,2024-05-07 22:57:39.490519
90822,97122.0,3784.0,4046.0,0.6911255121231079,0.5275862068965518,0.5229750509207538,0.694970428943634,0.5539,0.4710531449999999,"Sensitivity: 0.0, Resolution: 25x25, Jet rotation: +5",SB_0.0_jet_aug_5_25x25,0.6470020092704504,0.235,0.0094868329805051,21.0,2024-05-07 23:00:27.139436
90822,97122.0,3784.0,4046.0,0.6918535828590393,0.5240102171136654,0.5187185043772514,0.6949649453163147,0.55385,0.471091465,"Sensitivity: 0.0, Resolution: 25x25, Jet rotation: +5",SB_0.0_jet_aug_5_25x25,0.6470020092704504,0.235,0.0094868329805051,24.0,2024-05-07 23:01:19.708450
15247,16213.0,3811.0,4052.0,0.6910106539726257,0.5290601551570647,0.5278766484403878,0.6627990007400513,0.7526,0.8044119799999998,"Sensitivity: 1.0, Resolution: 25x25",SB_1.0_25x25,1.527380109861327,0.212,0.0189736659610102,24.0,2024-05-07 23:01:46.265684
15247,16213.0,3811.0,4052.0,0.6915371417999268,0.5249904616558565,0.5263315290102972,0.6725792288780212,0.72435,0.778330105,"Sensitivity: 1.0, Resolution: 25x25",SB_1.0_25x25,1.2826198189642948,0.413,0.0948683298050513,33.0,2024-05-07 23:02:50.240530
91482,97278.0,3811.0,4052.0,0.6908406615257263,0.5282970876255882,0.5206047763229162,0.590729296207428,0.76775,0.79831436,"Sensitivity: 1.0, Resolution: 25x25, Jet rotation: +5",SB_1.0_jet_aug_5_25x25,2.002037986652601,3.076,5.012210091366882,25.0,2024-05-07 23:05:44.678366
15357,16240.0,3839.0,4059.0,0.6908349394798279,0.5284882248670549,0.5297166353462772,0.6506443619728088,0.76,0.806737045,"Sensitivity: 2.0, Resolution: 25x25",SB_2.0_25x25,1.5482511424184384,0.2289999999999999,0.091706052144883,17.0,2024-05-07 23:06:51.952308
91482,97278.0,3811.0,4052.0,0.6905739903450012,0.5296960447666285,0.5266608868234339,0.590716540813446,0.768,0.798340195,"Sensitivity: 1.0, Resolution: 25x25, Jet rotation: +5",SB_1.0_jet_aug_5_25x25,2.002037986652601,3.0769999999999995,5.01537236902705,27.0,2024-05-07 23:07:00.095279
15357,16240.0,3839.0,4059.0,0.6916077136993408,0.5249430235502659,0.5245024851915621,0.6481828689575195,0.7939,0.865158875,"Sensitivity: 2.0, Resolution: 25x25",SB_2.0_25x25,1.9087507956776333,1.6919999999999995,1.400889003454592,37.0,2024-05-07 23:08:34.555182
