Train signal size,Train background size,Validation signal size,Validation background size,Loss,ACC,AUC,Loss-true,ACC-true,AUC-true,Sample Type,Model Name,TPR/FPR^0.5: FPR=0.1,TPR/FPR^0.5: FPR=0.01,TPR/FPR^0.5: FPR=0.001,Training epochs,time
15687,16321,3921,4079,0.691310465335846,0.52675,0.5242436440364019,0.6111372709274292,0.878,0.9467879600000002,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.675286900502449,5.13,6.587024366130735,21,2024-04-23 15:47:28.245302
15687,16321,3921,4079,0.6913420557975769,0.524,0.5231309600200929,0.6231042742729187,0.8688,0.9407992,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.621211952513569,4.608,6.460533259724,16,2024-04-23 15:48:23.252051
15687,16321,3921,4079,0.6911965012550354,0.52725,0.5262841899768529,0.6236177682876587,0.80245,0.87530401,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.090581761137316,3.22,3.633457031533468,23,2024-04-23 15:49:30.341571
15687,16321,3921,4079,7.775205612182617,0.509875,0.5,7.624600887298584,0.5,0.5,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,3.162277660168379,10.0,31.6227766016838,12,2024-04-23 15:50:11.713928
15687,16321,3921,4079,0.6912515759468079,0.524875,0.5247241752235982,0.625891387462616,0.87835,0.948177485,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.6850899612489707,4.81,5.812266339389481,19,2024-04-23 15:51:10.519449
15687,16321,3921,4079,7.775205612182617,0.509875,0.5,7.624600887298584,0.5,0.5,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,3.162277660168379,10.0,31.6227766016838,12,2024-04-23 15:52:16.842921
15687,16321,3921,4079,0.691085934638977,0.522375,0.5216849897513149,0.5788731575012207,0.8873,0.951656565,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.74517323679217,5.634,9.923227297608376,18,2024-04-23 15:53:19.754347
15687,16321,3921,4079,0.6908952593803406,0.5275,0.526333865603452,0.5866785049438477,0.8795,0.946447855,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.6980552996556613,4.779,5.666801567021736,27,2024-04-23 15:54:10.051624
15687,16321,3921,4079,0.6914037466049194,0.524625,0.5247661603504217,0.633701741695404,0.84455,0.91470335,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.342299062886718,2.347,2.235730305739044,24,2024-04-23 15:55:00.724672
15687,16321,3921,4079,0.6916852593421936,0.526625,0.5264922086171238,0.6383671164512634,0.8179,0.8855713199999999,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.0048840365467524,0.84,0.142302494707577,16,2024-04-23 15:55:47.893764
15687,16321,3921,4079,0.691980242729187,0.52075,0.5133717158048962,0.6025770306587219,0.8602,0.92737307,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.547530883031646,4.119999999999999,6.862142522565383,25,2024-04-23 15:56:32.855697
15687,16321,3921,4079,7.775205612182617,0.509875,0.5,7.624600887298584,0.5,0.5,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,3.162277660168379,10.0,31.6227766016838,12,2024-04-23 15:57:01.439367
15687,16321,3921,4079,0.6912318468093872,0.524875,0.5268454401494983,0.6307569146156311,0.84825,0.92101021,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.4460217701402414,2.847,2.109239199332309,31,2024-04-23 15:57:58.526481
15687,16321,3921,4079,0.6910582184791565,0.5275,0.5290027191231279,0.6010986566543579,0.865,0.93573152,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.563026043566472,4.254,4.427188724235732,28,2024-04-23 15:58:53.769395
15687,16321,3921,4079,7.775206089019775,0.509875,0.5,7.624600887298584,0.5,0.5,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,3.162277660168379,10.0,31.6227766016838,12,2024-04-23 15:59:24.161764
15687,16321,3921,4079,0.6909486651420593,0.524625,0.52236669315825,0.5672808289527893,0.89085,0.952523925,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.786282846374359,6.076,11.324116301062968,28,2024-04-23 16:00:50.933587
15687,16321,3921,4079,0.6908461451530457,0.52275,0.5227604092321261,0.5817751288414001,0.86785,0.93550113,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.6174172193213674,5.25,10.365946170031949,28,2024-04-23 16:02:17.013691
15687,16321,3921,4079,0.6911407709121704,0.526375,0.5271137635623995,0.5954780578613281,0.88775,0.954380905,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.753078930942591,4.843,6.998120461952624,19,2024-04-23 16:03:26.173075
15687,16321,3921,4079,0.6910931468009949,0.52425,0.5243746326301403,0.589131236076355,0.87735,0.939960175,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.69014960550524,5.012,7.450326167356702,26,2024-04-23 16:04:59.455328
15687,16321,3921,4079,0.6910759806632996,0.524375,0.5266676520510282,0.599469780921936,0.87345,0.93880083,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.662005334329742,4.995,6.580699810810399,21,2024-04-23 16:06:14.350500
15687,16321,3921,4079,0.6915068030357361,0.523625,0.5267752565234977,0.6527878642082214,0.7982,0.8613055,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,1.972945032179052,0.83,0.2023857702507763,12,2024-04-23 16:06:59.258991
15687,16321,3921,4079,0.6915323734283447,0.523,0.5263047292384486,0.6494009494781494,0.8151,0.883817045,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.1588869585969523,1.867,1.941638483343385,14,2024-04-23 16:07:52.301498
15687,16321,3921,4079,0.6908436417579651,0.5255,0.523505887515249,0.591130793094635,0.87655,0.94405937,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.649039995923052,5.159,8.225084194097954,29,2024-04-23 16:09:23.413670
15687,16321,3921,4079,0.6914069652557373,0.5225,0.5275616257566467,0.6433588862419128,0.8073,0.877044855,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.0403015463406384,1.209,0.616644143732834,18,2024-04-23 16:10:36.073523
15687,16321,3921,4079,0.6911635994911194,0.525625,0.5251165470231232,0.6150156259536743,0.8709,0.9413764,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.6221606358116203,3.845,3.680891196435994,17,2024-04-23 16:11:31.352960
15687,16321,3921,4079,0.6915566325187683,0.525125,0.5259474648830209,0.6330772638320923,0.8533,0.92218569,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.508002412279541,4.167,7.78552759933455,18,2024-04-23 16:12:33.298269
15687,16321,3921,4079,0.691159725189209,0.52975,0.5288113944945649,0.6149168610572815,0.8541,0.92894233,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.4966182127029355,4.547999999999999,6.14746777136733,27,2024-04-23 16:13:55.554962
15687,16321,3921,4079,0.6915028095245361,0.520875,0.5179508769639458,0.5763857364654541,0.8917,0.95609976,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.7903938073325776,5.561,10.660037992427608,18,2024-04-23 16:15:43.628459
15687,16321,3921,4079,0.6915237903594971,0.524125,0.5213578308889111,0.5753185749053955,0.87115,0.94308147,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.6306987854940744,4.686999999999999,9.237013045351835,23,2024-04-23 16:17:39.446967
15687,16321,3921,4079,0.6914642453193665,0.52575,0.5225163452819315,0.6420629620552063,0.8166,0.8906141599999999,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.120623398908915,3.205,5.926108335155544,25,2024-04-23 16:19:49.936840
15687,16321,3921,4079,0.6909688711166382,0.52575,0.5281411017885164,0.6293342709541321,0.84405,0.913887875,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.4033310217279684,3.736,4.967938204124524,22,2024-04-23 16:21:53.154102
15687,16321,3921,4079,0.6906627416610718,0.527875,0.5303728473087533,0.6253662109375,0.84765,0.917904625,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.437799848223804,2.696,0.9423587427301772,21,2024-04-23 16:23:24.307604
15687,16321,3921,4079,7.775206089019775,0.509875,0.5,7.624600887298584,0.5,0.5,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,3.162277660168379,10.0,31.6227766016838,12,2024-04-23 16:24:24.590399
15687,16321,3921,4079,0.6912667155265808,0.52525,0.5256734517507735,0.6342052221298218,0.8399,0.913314885,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.3694946507641665,2.553,1.0783366821174174,18,2024-04-23 16:25:58.050695
15687,16321,3921,4079,0.6910619139671326,0.528125,0.5289559508805903,0.6412161588668823,0.83885,0.907338755,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.3549481735273923,1.881,0.2972541000558277,19,2024-04-23 16:27:20.876313
15687,16321,3921,4079,0.6913904547691345,0.524125,0.5205226301084067,0.6304014921188354,0.873,0.94232984,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.662005334329742,4.45,5.540310460615001,16,2024-04-23 16:28:55.048525
15687,16321,3921,4079,0.6913920640945435,0.523625,0.5269585155059545,0.6487323641777039,0.8213,0.891997905,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.2154917287139666,1.982,0.8727886342064728,20,2024-04-23 16:29:43.791698
15687,16321,3921,4079,0.6898965239524841,0.527875,0.521787467223934,0.5812419652938843,0.86535,0.9061433400000002,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.565872093460623,4.488,5.480227185071802,22,2024-04-23 16:31:45.173276
15687,16321,3921,4079,7.775205612182617,0.509875,0.5,7.624600887298584,0.5,0.5,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,3.162277660168379,10.0,31.6227766016838,12,2024-04-23 16:32:54.460187
15687,16321,3921,4079,7.775205612182617,0.509875,0.5,7.624600887298584,0.5,0.5,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,3.162277660168379,10.0,31.6227766016838,12,2024-04-23 16:34:01.290277
15687,16321,3921,4079,0.6915144324302673,0.524125,0.5199299926927747,0.6175484657287598,0.86175,0.92746828,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.559863765906303,4.699,8.082781699390377,23,2024-04-23 16:36:10.714421
15687,16321,3921,4079,0.6916751861572266,0.523625,0.5228867397589272,0.6309818029403687,0.8505,0.9179709049999998,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.438748531521854,2.914,1.4230249470757708,23,2024-04-23 16:38:17.888301
