Train signal size,Train background size,Validation signal size,Validation background size,Loss,ACC,AUC,Loss-true,ACC-true,AUC-true,Sample Type,Model Name,TPR/FPR^0.5: FPR=0.1,TPR/FPR^0.5: FPR=0.01,TPR/FPR^0.5: FPR=0.001,Training epochs,time
31154,32588,3894,4072,0.6917731761932373,0.5234747677629927,0.5209052287383845,0.6377364993095398,0.83665,0.905161255,"Sensitivity: 4.0, Resolution: 25x25, Copy: +1",SB_4.0_copy_1_25x25,2.282532015109536,2.164,2.1187260323128143,22,2024-03-23 23:26:14.341423
32474,32910,4059,4113,0.6881468296051025,0.5292462065589819,0.5368719843288877,0.5474039316177368,0.91395,0.97145519,"Sensitivity: 10.0, Resolution: 25x25, Copy: +1",SB_10.0_copy_1_25x25,2.9311151632100705,6.236,9.03462727510106,20,2024-03-23 23:26:32.220013
31374,32642,3921,4079,0.691662609577179,0.523625,0.5224350948391807,0.6200195550918579,0.8554,0.92563222,"Sensitivity: 5.0, Resolution: 25x25, Copy: +1",SB_5.0_copy_1_25x25,2.4637305250371844,3.0969999999999995,2.779642063288006,20,2024-03-23 23:27:39.403667
15797,16347,3949,4086,0.6909721493721008,0.5249533291848164,0.52707290841241,0.568427324295044,0.8697,0.93154232,"Sensitivity: 6.0, Resolution: 25x25",SB_6.0_25x25,2.6351259742183104,4.983,7.744417989752361,39,2024-03-23 23:28:02.362845
15137,16187,3784,4046,0.6920642852783203,0.5243933588761175,0.5140465448086957,0.6890426278114319,0.57695,0.57761386,"Sensitivity: 0.0, Resolution: 25x25",SB_0.0_25x25,0.5331600135043888,0.046,0.0189736659610102,21,2024-03-23 23:28:47.711987
15907,16374,3976,4092,0.6902049779891968,0.5286316311353495,0.5285715084741096,0.5748117566108704,0.8959,0.95917668,"Sensitivity: 7.0, Resolution: 25x25",SB_7.0_25x25,2.815692028613925,5.359,6.618647142732419,35,2024-03-23 23:29:43.220199
15247,16213,3811,4052,0.6922591328620911,0.5225740811395142,0.514893889279306,0.6779224872589111,0.6569,0.6902603350000001,"Sensitivity: 1.0, Resolution: 25x25",SB_1.0_25x25,0.835157530050469,0.0649999999999999,0.0189736659610102,23,2024-03-23 23:29:56.062180
15357,16240,3839,4059,0.6920430064201355,0.5235502658900988,0.5225103146150929,0.6576241850852966,0.75,0.7953948399999999,"Sensitivity: 2.0, Resolution: 25x25",SB_2.0_25x25,1.455596406975505,0.173,0.0569209978830308,17,2024-03-23 23:30:53.684604
16017,16401,4004,4099,0.6897971034049988,0.527952610144391,0.5303149217213623,0.5879891514778137,0.89835,0.96192951,"Sensitivity: 8.0, Resolution: 25x25",SB_8.0_25x25,2.8254950893604467,5.377999999999999,6.141143216046993,31,2024-03-23 23:31:14.327341
15467,16267,3866,4066,0.6920039653778076,0.5210539586485123,0.5188736596290539,0.6540288925170898,0.77955,0.8440333050000001,"Sensitivity: 3.0, Resolution: 25x25",SB_3.0_25x25,1.728500969048036,0.536,0.1960612149304395,25,2024-03-23 23:32:06.857193
16127,16428,4031,4106,0.6889582872390747,0.5288189750522305,0.5317745400568874,0.5438361167907715,0.90255,0.96085935,"Sensitivity: 9.0, Resolution: 25x25",SB_9.0_25x25,2.8615450546863666,6.153,8.867026559112135,35,2024-03-23 23:32:47.058139
15577,16294,3894,4072,0.6919155120849609,0.5207130303791112,0.5230070341455244,0.652692973613739,0.78575,0.844934735,"Sensitivity: 4.0, Resolution: 25x25",SB_4.0_25x25,1.829693854173424,0.8069999999999999,0.3857978745405423,20,2024-03-23 23:33:16.508360
16237,16455,4059,4113,0.687669038772583,0.530347528144885,0.5365652696157401,0.5230184197425842,0.9129,0.96896834,"Sensitivity: 10.0, Resolution: 25x25",SB_10.0_25x25,2.915620002675246,6.79,9.30974543153571,38,2024-03-23 23:34:25.030989
15687,16321,3921,4079,0.6915432810783386,0.524125,0.5247837922279559,0.6311243176460266,0.82915,0.89877183,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.2591311604242903,2.084,1.5811388300841898,27,2024-03-23 23:34:31.873607
30274,32374,3784,4046,0.6921107769012451,0.5233716475095785,0.5152775977944966,0.6836583018302917,0.61455,0.62088921,"Sensitivity: 0.0, Resolution: 25x25, Copy: +1",SB_0.0_copy_1_25x25,0.7254264952426261,0.053,0.0,16,2024-03-23 23:35:43.874648
31594,32694,3949,4086,0.6907196044921875,0.5289359054138145,0.5277763213720903,0.5816584229469299,0.887,0.95351882,"Sensitivity: 6.0, Resolution: 25x25, Copy: +1",SB_6.0_copy_1_25x25,2.751814019878524,5.034999999999999,6.270796600113897,22,2024-03-23 23:35:56.710990
30494,32426,3811,4052,0.6922115087509155,0.5243545720462928,0.513792392676367,0.6784298419952393,0.6644,0.713904955,"Sensitivity: 1.0, Resolution: 25x25, Copy: +1",SB_1.0_copy_1_25x25,1.012877534551932,0.1559999999999999,0.050596442562694,18,2024-03-23 23:37:04.920247
31814,32748,3976,4092,0.6898390650749207,0.5250371839365394,0.5289022748416206,0.5683529376983643,0.86475,0.92072016,"Sensitivity: 7.0, Resolution: 25x25, Copy: +1",SB_7.0_copy_1_25x25,2.6215281802795865,5.134999999999999,7.406054280114344,27,2024-03-23 23:37:37.430893
30714,32480,3839,4059,0.6921232342720032,0.5241833375538111,0.516404747864287,0.6647142171859741,0.73425,0.7902622349999999,"Sensitivity: 2.0, Resolution: 25x25, Copy: +1",SB_2.0_copy_1_25x25,1.4271359080339896,0.325,0.0537587202228624,16,2024-03-23 23:38:19.084498
32034,32802,4004,4099,0.6902056932449341,0.5289398988029125,0.531666186947963,0.5594098567962646,0.90035,0.963189475,"Sensitivity: 8.0, Resolution: 25x25, Copy: +1",SB_8.0_copy_1_25x25,2.8321358724468,5.799,8.079619421730209,21,2024-03-23 23:39:07.447362
30934,32534,3866,4066,0.6921260952949524,0.5223146747352496,0.5186512876391074,0.658750057220459,0.76395,0.823175865,"Sensitivity: 3.0, Resolution: 25x25, Copy: +1",SB_3.0_copy_1_25x25,1.6054883680674863,0.348,0.2371708245126284,16,2024-03-23 23:39:33.856562
32254,32856,4031,4106,0.6891718506813049,0.5293105567162345,0.5351008979000182,0.5640404224395752,0.89845,0.96246143,"Sensitivity: 9.0, Resolution: 25x25, Copy: +1",SB_9.0_copy_1_25x25,2.8340332390429013,5.242,5.888161003233523,18,2024-03-23 23:40:27.218160
31154,32588,3894,4072,0.6917217969894409,0.5236003012804419,0.5229772038590426,0.6433885097503662,0.81225,0.8803048,"Sensitivity: 4.0, Resolution: 25x25, Copy: +1",SB_4.0_copy_1_25x25,2.078565106028676,1.17,0.7368106948192324,15,2024-03-23 23:40:43.585375
32474,32910,4059,4113,0.6886313557624817,0.5286343612334802,0.5360049709287403,0.5609264373779297,0.9092,0.968838135,"Sensitivity: 10.0, Resolution: 25x25, Copy: +1",SB_10.0_copy_1_25x25,2.9023384365025384,5.888,8.123891308972567,22,2024-03-23 23:41:59.467277
